entity_id,P,A,Comp,GSI,OSR,NDVI,NDBI,FAR,SC,AH,Po,UH,UA,Longitude,Latitude,hdbscan_labels
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:944,0.314226087,0.569253066,0.921602796,0.404380051,0.062748038,0.461134644,0.652226688,0.370777672,0.021456839,-0.31202352,0.795388488,-0.498571711,0.535408251,118.8065505,32.03862959,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:945,0.298607323,0.5624173,0.945520838,0.265974296,0.090531831,0.425186526,0.670465776,-0.152669986,0.020343088,-0.266451209,0.837694499,-0.477793664,0.579451394,118.7161403,32.03799777,22
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:946,0.342337154,0.579097732,0.861798715,0.325751415,0.077087099,0.249783327,0.812574051,3.501873123,0.018752105,3.194892823,0.80600221,2.581584115,0.575424818,118.7805479,32.03909028,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:947,0.322728915,0.564042156,0.842114954,0.321566788,0.077944529,0.365956397,0.793135236,0.943321574,0.021868868,0.622797073,0.841281118,0.399025689,0.566402885,118.7745148,32.03878977,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:948,0.349348581,0.586762603,0.886038038,0.372205948,0.068246221,0.375226848,0.797164782,1.045720089,0.020785109,0.404399665,0.81938781,0.069350838,0.546976451,118.7711515,32.03867933,20
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:949,0.232969283,0.518455775,0.92472727,0.352734472,0.07180954,0.338905277,0.78931981,1.911699093,0.012444396,1.331028635,0.775411679,0.27140542,0.642011864,118.7877367,32.0391695,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:950,0.369399068,0.604054231,0.922030761,0.161940471,0.123436303,0.406706756,0.74209053,1.159690521,0.012766355,3.307775531,0.908781531,3.440159877,0.60460701,118.9058296,32.03843686,9
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:951,0.436950062,0.642217558,0.888287235,0.364389044,0.06965381,0.284440628,0.846285287,0.108162898,0.003198915,-0.403637102,0.676225359,-0.787405453,0.888916019,118.921468,32.03869522,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:952,0.33663415,0.582633767,0.915859247,0.070796577,0.178308038,0.465913901,0.647678591,-1.092187059,0.02030983,-0.841363223,0.966343604,-0.740289353,0.550716109,118.8614627,32.04069921,8
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:953,0.428390285,0.630840049,0.844015541,0.312795259,0.079778614,0.66468845,0.547380089,0.269474996,0.019628275,-0.026895404,0.862799402,0.352817014,0.559817014,118.8420853,32.03770869,15
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:954,0.230992604,0.511023035,0.877159999,0.569263495,0.040068466,0.343296781,0.823466457,0.82034326,0.017630002,-0.438634082,0.727350376,-0.278170601,0.595836697,118.7868018,32.03938356,2
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:955,0.231409448,0.507848081,0.851790688,0.475965199,0.051939088,0.316525713,0.834926119,1.100392107,0.019027165,-0.00588629,0.712726351,-0.228727128,0.600299597,118.7859907,32.0395024,2
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:956,0.456941512,0.657309591,0.907497243,0.441358347,0.056945186,0.48050956,0.510062837,-0.124555841,0.007177791,-0.796005451,0.793179094,-0.704848117,0.825580764,118.9162393,32.03887177,19
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:957,0.392347156,0.618493297,0.921946555,0.343778737,0.073515031,0.352017797,0.72001038,1.441562868,0.016493511,0.955814219,0.871350977,0.925403863,0.576288533,118.7775661,32.03866701,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:958,0.30812008,0.568731317,0.948121557,0.336696077,0.074895586,0.319897823,0.741915841,0.482544007,0.023031609,0.067320563,0.848782456,-0.106113183,0.527786036,118.7845487,32.03982868,20
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:959,0.396370742,0.623969441,0.945391899,0.116442317,0.145309762,0.290986612,0.791724948,-1.016070792,0.020897323,-0.942707961,0.931717232,-0.952437999,0.541051385,118.9117522,32.03916856,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:960,0.371073828,0.600073321,0.883242578,0.43200855,0.058365145,0.516076664,0.499287154,0.815331455,0.015865614,-0.056916861,0.800549702,-0.080736793,0.614852844,118.8041881,32.03931381,1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:961,0.323834374,0.566055152,0.851635769,0.491216446,0.049847448,0.539589537,0.612273167,1.818419676,0.013998322,0.427121054,0.814813064,0.641162288,0.639072932,118.8063842,32.04013517,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:962,0.505709374,0.673127947,0.79922974,0.389866446,0.065171979,0.41126189,0.64460056,0.381611223,0.017072117,-0.252930157,0.832146861,-0.342186815,0.614084707,118.8198665,32.03711779,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:963,0.259204308,0.533919835,0.916338291,0.431937693,0.058376023,0.286401083,0.769703961,1.158053973,0.021875173,0.206134022,0.762036639,0.012426157,0.57480562,118.7829012,32.04018362,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:964,0.563894168,0.682791452,0.634754338,0.020755484,0.259678781,0.555453645,0.547182458,-1.20550161,0.019295032,-0.694669935,0.987828172,-0.801522527,0.539968787,118.8230125,32.03644455,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:965,0.376440602,0.576765841,0.703208307,0.41369169,0.061238281,0.387730487,0.878281273,1.120935494,0.006886587,0.25837888,0.810846564,0.474336637,0.797818702,118.8927822,32.0397568,25
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:966,0.319053159,0.560426418,0.832814779,0.452764542,0.055253106,0.284299647,0.880543899,3.028763346,0.019979081,1.489074418,0.819901911,1.745310442,0.567561211,118.776125,32.03996073,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:967,0.372562611,0.59633154,0.848655386,0.092486201,0.160584949,0.777567443,0.620572587,-1.062311032,0.023977598,-0.924526347,0.950826298,-0.918805324,0.510024455,118.8991932,32.03995276,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:968,0.404897007,0.624927122,0.910468354,0.256834666,0.092850739,0.58631146,0.665381896,0.311272706,0.013303601,0.381130032,0.87602692,-0.011312693,0.594472958,118.8977039,32.04127973,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:969,0.260493428,0.534770452,0.916638408,0.519301855,0.046160202,0.394214385,0.720516518,1.469048263,0.017010744,0.091846627,0.696087269,-0.358706283,0.59499681,118.7857797,32.04093811,20
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:970,0.21885065,0.512493693,0.948190769,0.378101524,0.067204025,0.403666545,0.79432767,0.852191127,0.026192035,0.202811316,0.82169017,0.057407307,0.525498162,118.7751446,32.04098852,2
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:971,0.386609114,0.598058057,0.798606864,0.291239098,0.084513918,0.622773786,0.619449845,0.011847442,0.019437934,-0.199573187,0.929476621,0.309482502,0.552952039,118.8103415,32.04066133,37
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:972,0.348079871,0.588486528,0.905325079,0.216221762,0.10426572,0.604657099,0.651475426,-0.055717631,0.020120677,0.200910402,0.859731214,0.005850466,0.556040438,118.8279275,32.04114176,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:973,0.346915547,0.578274535,0.834953241,0.464896338,0.053499542,0.654625762,0.581358684,0.6242673,0.014644208,-0.305885148,0.742528579,-0.432664395,0.646679098,118.8084782,32.04033753,27
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:974,0.262236049,0.533441576,0.89784696,0.225322762,0.101531522,0.547500721,0.60333673,0.112350718,0.019649749,0.373102116,0.902342449,0.536366333,0.54360572,118.8062803,32.04141685,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:975,0.312974587,0.566863557,0.90909397,0.329042795,0.076420399,0.477484547,0.632093844,0.65212381,0.019418008,0.278004643,0.863080959,0.3454494,0.585388151,118.7478551,32.0410003,23
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:976,0.320898818,0.576215987,0.943567829,0.545657844,0.042877069,0.301442162,0.803962006,1.758414903,0.018153105,0.183244114,0.769153084,0.282067552,0.581140911,118.7879208,32.04098612,2
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:977,0.478725869,0.598734666,0.489081483,0.1277987,0.139138296,0.491668383,0.821541181,-0.237387171,0.013674006,1.012244649,0.950189873,1.230051643,0.605806721,118.7978309,32.03822117,2
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:978,0.360837654,0.589454773,0.852333329,0.610821107,0.035395736,0.476771596,0.737752819,3.199873452,0.007554216,0.769019773,0.748416114,1.073057007,0.709965163,118.7195766,32.0414459,16
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:979,0.276419858,0.535783761,0.848701014,0.220339253,0.103014728,0.499404971,0.787042807,-0.359396934,0.013417559,-0.290185266,0.819107812,-0.592655971,0.628606583,118.8955854,32.04181474,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:980,0.340898933,0.58386604,0.904566923,0.499326462,0.048761493,0.400043619,0.758022996,0.864898806,0.020579233,-0.239108591,0.749965973,-0.198269949,0.587779516,118.7643947,32.04160461,20
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:981,0.292562206,0.54553812,0.845700052,0.305618937,0.081317816,0.442277792,0.732577962,0.850394182,0.024600478,0.640805551,0.879924658,1.505694999,0.543401037,118.793047,32.04174019,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:982,0.476566086,0.664749304,0.870219599,0.408197371,0.062124948,0.388718697,0.744886181,0.072955653,0.005830621,-0.566198266,0.730984578,-0.793898272,0.803495485,118.922868,32.04137423,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:983,0.306594137,0.569448663,0.961798772,0.318078314,0.078667889,0.387222381,0.709725313,4.303587793,0.01779217,4.146599639,0.822007359,3.956589935,0.577281384,118.7915648,32.04204324,13
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:984,0.242002865,0.525015658,0.931595099,0.10327127,0.153270221,0.344393853,0.72467173,-0.533516275,0.03840729,0.695355765,0.959985734,1.293223046,0.547156032,118.7899511,32.0423551,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:985,0.251389426,0.531195312,0.933702597,0.332704214,0.075686535,0.345908437,0.788958938,3.950752075,0.016848669,3.540444505,0.776338746,2.571902389,0.592658293,118.7885621,32.04255479,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:986,0.327842799,0.580173383,0.940223084,0.387701279,0.065541303,0.337961053,0.729287713,1.533204356,0.020292274,0.738641033,0.841882908,1.135944107,0.555309337,118.7863757,32.04236583,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:987,0.316103538,0.558798661,0.83445243,0.471228644,0.052602344,0.50479292,0.725031613,0.771963153,0.021250227,-0.220170424,0.744963395,-0.48949947,0.543485909,118.7845062,32.04213105,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:988,0.318206077,0.565305508,0.872203673,0.451720418,0.055406217,0.277359641,0.787219105,3.775148312,0.016470407,2.04357686,0.820178899,2.997301238,0.623413775,118.7832643,32.04223619,3
